"name","segment","category","hq","markets","what","features","needs","mechanism","differentiation","users","revenue","funding","retention","business_model","verdict","status","ditto_flag","source_tier","source_url","notes","regions"
"Working With Cancer Pledge","Patient support & caregiver","Return-to-work (employer)","Global (Publicis-led)","Global","Employer pledge of 1-year job security for staff diagnosed with cancer, plus toolkits and an AI coach.","Job-security pledge; toolkits; screening time off; AI coach","13","Employer commitment / culture","Movement, not a patient tool","2,500+ companies / 35M+ employees","","","","Pledge / CSR","Growing (reach)","Active","Watch","T2","https://www.adweek.com/agencies/following-arthur-sadouns-diagnosis-publicis-launches-working-with-cancer-pledge-with-dozens-of-global-partners/","","Global"
"Cancer and Careers","Patient support & caregiver","Return-to-work resources","United States","US","Free education, return-to-work resources, resume help and coaching for working with/after cancer.","RTW education; resume/coaching; manager program","13","Content + coaching","","","","Non-profit (CEW Foundation)","","Non-profit","Niche","Active","Watch","T3","https://www.cancerandcareers.org/en/at-work/back-to-work-after-cancer/back-to-work","","US"
"Family Reach","Patient support & caregiver","Financial navigation","United States","US","Financial navigation for cancer 'financial toxicity': grants for rent/utilities/groceries/transport and a Clinical Trial Access Fund.","Hardship grants; resource navigation; trial-access fund","13","Financial navigation","Across 1,000+ hospitals/cancer centres; 28 years","","","Non-profit / grants","","Non-profit / grants","Niche (established)","Active","Watch","T3","https://familyreach.org/resourcenavigation/","","US"
"kanker.nl community","Patient support & caregiver","Peer community","Netherlands","NL","Reliable info plus a social network with discussion groups and a peer (Lotgenoot) finder.","Trusted info; discussion groups; peer matching","10;1;9","Peer community","NL incumbent; KWF/NFK/IKNL initiative","~780,000 visits/month; 40,000+ participants","","Non-profit","","Non-profit","Proven (NL incumbent)","Active","Watch (coexist)","T3","https://www.kanker.nl/overig/over-de-community","Forum-era UX; not personalized","EU"
"Macmillan Online Community","Patient support & caregiver","Peer community","United Kingdom","UK","Free 24/7 cancer-type forums and peer support, charity-run.","Cancer-type forums; 24/7 peer support","10;9","Peer community","Large trusted UK incumbent","80,000+ members; ~286,000 reached in 2024","","Charity","","Charity","Proven","Active","Watch","T3","https://community.macmillan.org.uk/cancer-blogs/b/community_news/posts/the-power-of-peer-support--the-online-community-in-2024","","EU"
"PatientsLikeMe","Patient support & caregiver","Patient community","United States","US / Global","Cross-condition patient community plus self-tracking.","Community; self-tracking; 'Ella' AI assistant","10;4","Community + data","Payer-owned; momentum faded post-acquisition","850,000+ members; 2,800+ conditions","","Acquired by UnitedHealth/Optum (2019)","","B2B (data/pharma)","Mixed","Acquired","Watch","T1","https://hitconsultant.net/2019/06/24/unitedhealth-group-acquires-patientslikeme/","Not cancer-specific","Global;US"
"Inspire","Patient support & caregiver","Condition communities","United States","US","Condition-specific patient communities monetized via life-sciences sponsorships.","Condition communities; pharma sponsorships","10","Community + B2B audience","Sells engaged condition-specific audiences to pharma","","","","","B2B pharma","Growing","Active","Watch","T3","https://markets.financialcontent.com/clarkebroadcasting.mymotherlode/article/gnwcq-2025-5-12-inspire-launches-patient-community-sponsorships","","US"
"Wisdo Health","Patient support & caregiver","Peer support (general)","US / Israel","US","General peer-support / loneliness platform.","Peer matching; social support","9;10","Peer support","","1M+ users","","$11M raised; acquired by Talkspace (Oct 2025)","","B2B2C","Mixed","Acquired","Watch","T3","https://www.fiercehealthcare.com/health-tech/talkspace-acquires-social-health-platform-wisdo-health-expand-peer-support-services","Not cancer-specific; consolidation signal","US"
"HealthUnlocked","Patient support & caregiver","Patient communities","United Kingdom","UK / Global","Network of condition-specific patient communities.","Condition communities","10","Peer community","","","","","","B2B","Niche","Active","Watch","T3","","","EU;Global"
"Koda Health","Patient support & caregiver","Advance-care planning","United States","US","Advance-care-planning platform deployed via health systems and payers.","ACP workflow; system/payer distribution; kidney action planning","14","ACP at point of care","Strongest growth signal in ACP; B2B2C","700,000+ patients (Cigna, Privia, Houston Methodist)","","$7M Series A (Oct 2025)","","B2B2C systems/payers","Growing","Active","Adopt (learn)","T2","https://hospicenews.com/2025/10/02/advance-care-planning-platform-koda-health-raises-7m-in-series-a-funding-round/","US-only; not cancer-specific","US"
"MyDirectives (ADVault)","Patient support & caregiver","Advance-care planning","United States","US / 40+ countries","All-digital advance directives and healthcare proxies, EHR-interoperable.","Digital advance directives; proxy; EHR interoperability; POLST","14","Digital ACP + interoperability","Humana-distributed; HITRUST-certified","Consumer users in 40+ countries","","","","B2B2C payer","Growing","Active","Watch","T3","https://www.prnewswire.com/news-releases/advault-and-humana-announce-expansion-of-mydirectives-platform-300902095.html","","US"
"Cake","Patient support & caregiver","End-of-life planning","United States","US","Consumer end-of-life and advance-care planning tool.","EOL planning; wishes","14","Consumer ACP","","","","Acquired by Foundation Partners Group (2024)","","Consumer to funeral-services funnel","Mixed","Acquired","Watch","T2","https://foundationpartners.com/fpgnews/foundation-partners-group-acquires-cake-to-meet-growing-demand-for-end-of-life-planning-tools-and-resources/","Weak standalone monetization","US"
"Thuisarts.nl (Verken uw wensen)","Patient support & caregiver","Advance-care planning (NL)","Netherlands","NL","Free public digital choice-aid to determine, discuss and record care/treatment wishes.","ACP choice-aid; wilsverklaring support; GP-endorsed","14","Public choice-aid","NL public, trusted, free; ZonMw-funded","National","","Public","","Public (free)","Niche (choice-aid)","Active","Adopt (grounding)","T1","https://www.nivel.nl/nl/onderzoeksprogrammas/verpleging-verzorging-en-ouderenzorg/tool-advance-care-planning-palliatieve-zorg","Information aid, not a connected product","EU"
"OpenEvidence","AI answers & assistants","Grounded answers (clinician)","United States","US / Global","RAG over peer-reviewed journals (NEJM/JAMA) with citations, for clinicians.","Cited answers; licensed journals; clinician Q&A","2","Grounded + cited answers","Gold standard for cited clinical answers; clinician-only (patient-grade is white space)",">40% of US physicians; 18-20M monthly consultations","","~$12B valuation (Series D, Jan 2026)","","B2B (free to clinicians, pharma-funded)","Proven","Active","Innovate","corpus","","Port the cited-answer model to patient-grade","Global;US"
"Ada Health","AI answers & assistants","Symptom checker","Germany","EU / Global","AI triage Q&A returning probable causes and next-step routing.","Symptom triage; probable causes; routing","2;4","Structured triage","Clinical-grade triage, EU-built","13M+ users; 30M+ assessments","","","","B2B + consumer","Proven (triage)","Active","Adopt (feature)","corpus","","Triage is episodic, not a retention engine","EU;Global"
"Infermedica / Symptomate","AI answers & assistants","Symptom-checker infrastructure","Poland","EU / Global","Triage engine and API for providers across the EU.","Triage engine; API; multi-payer","2;4","Structured triage (B2B)","B2B triage rails across EU","100M+ checks","","","","B2B API","Growing","Active","Adopt (feature)","corpus","","","EU;Global"
"K Health","AI answers & assistants","AI primary care","United States","US","Symptom AI + telehealth + prescriptions.","AI triage; telehealth; Rx","2;4","AI triage into a care transaction","","Millions of users","","~$900M valuation","","AI triage to telehealth","Mixed","Active","Innovate","corpus","","","US"
"ChatGPT / ChatGPT Health","AI answers & assistants","General + health AI","United States","US (Health EU-blocked)","Conversational LLM with health grounding (ChatGPT Health).","Conversational answers; health grounding","2","LLM answers","Default 'Dr. Google' replacement; Health explicitly EU/UK/CH-blocked (GDPR/MDR)","~40M/week health users","","","","Subscription / platform","Growing","Active","Innovate / Watch","corpus","","EU-blocked for the Health product","EU;US"
"Perplexity (Health)","AI answers & assistants","Answer engine","United States","Global","Web RAG with citations; conversational search.","Cited web answers","2","Grounded web answers","","Tens of millions","","","","Subscription","Growing","Active","Watch","corpus","","","Global;US"
"Gemini","AI answers & assistants","General AI","United States","Global","LLM assistant with Google health surfaces.","Conversational answers; search integration","2","LLM answers","","Hundreds of millions","","","","Platform","Growing","Active","Watch","corpus","","","Global;US"
"Claude / Claude for Healthcare","AI answers & assistants","General + health AI","United States","Global","LLM with healthcare tooling/MCP.","Conversational answers; health tooling","2","LLM answers","Enterprise + developer health grounding","","","","","Platform","Growing","Active","Watch","corpus","","","Global;US"
"Consensus","AI answers & assistants","Research answer engine","United States","Global","AI over peer-reviewed papers with evidence-cited answers.","Evidence-cited science answers","2","Grounded research answers","","Millions","","","","Subscription","Niche","Active","Adopt (grounding)","corpus","","","Global;US"
"UpToDate","AI answers & assistants","Clinical reference","United States","Global","Curated, clinician-authored evidence reference.","Clinician-authored evidence","2","Curated reference","Gold-standard clinician reference (Wolters Kluwer)","Ubiquitous in clinical use","","","","B2B subscription","Proven","Active","Adopt (grounding)","corpus","","","Global;US"
"Glass Health","AI answers & assistants","Clinical AI (DDx)","United States","US","AI differential-diagnosis and plan for clinicians.","DDx; clinical plan","2","Clinician reasoning assistant","","","","YC-backed","","B2B","Niche","Active","Watch","corpus","","Clinician-facing","US"
"Docus","AI answers & assistants","AI + second opinion","United States","Global","AI assistant plus a doctor network for second opinions.","AI answers; human 2nd opinion","2;3","AI answer + human verification","","","","","","Consumer / subscription","Niche","Active","Innovate","corpus","","","Global;US"
"Babylon Health","AI answers & assistants","AI primary care (defunct)","United Kingdom","UK/US","Symptom AI + telehealth grown via ad-funnel.","Symptom AI; telehealth","2;4","AI triage + ad-funnel growth","Cautionary tale: scaled CAC, inverted unit economics","","","$4.2B SPAC to bankruptcy 2023","","D2C ad-funnel","Dead","Defunct","Avoid (model)","corpus","","The US ad-funnel D2C model to avoid","EU;US"
"Ubie","AI answers & assistants","Symptom checker","Japan","Japan / US","AI symptom-checker / disease-awareness engine that routes patients to care.","Symptom checker; disease awareness; care routing; generative AI","2;4","Free symptom-checker funnel to care","Free SEO/disease-awareness top-of-funnel, low CAC; Google-backed","13M+ monthly users; 4M+ US","","$125M+ total","","Free funnel to provider solutions","Growing","Active","Adopt (funnel)","T2","https://hitconsultant.net/2024/10/09/google-invests-in-ubie-to-advance-digital-health-generative-ai/","","Asia;US"
"Haodf (好大夫在线)","AI answers & assistants","Consultation + reputation","China","China","Doctor-reputation and online-consultation platform with real-name verified hospital doctors.","Verified doctors; online consultation; reputation","2;3;4","Verified-clinician consultation + AI","Verified-clinician trust layer; acquired to fuse with Alipay + AI","280,000 verified hospital doctors; 100M+ patients served","","Acquired by Ant Group (Jan 2025)","","Consultation marketplace","Growing","Acquired","Watch","T2","https://technode.com/2025/01/13/ant-group-acquires-haodf-com-to-explore-ai-in-healthcare/","","Asia"
"DXY (丁香园)","AI answers & assistants","Physician community + content","China","China","Dominant physician professional community plus a consumer health-content/e-commerce arm.","Physician community; consumer content; e-commerce","1;2","Doctor-authored content funnel","~71% of China's doctors; trusted content","1.47M doctors; 50M+ active users","","Tencent $70M; Trustbridge-led $500M round","","B2B + commerce","Mixed","Active","Watch","T2","https://restofworld.org/2022/china-health-platform-censored/","Temporarily shut down by regulators 2022","Asia"
"Mediktor","AI answers & assistants","Symptom checker","Spain","EU / LatAm","AI triage, multilingual, EU.","Multilingual triage","2;4","Structured triage","EU/LatAm triage rails","100+ deployments (unconfirmed)","","","","B2B","Niche","Active","Adopt (feature)","corpus","","","EU"
"Buoy Health","AI answers & assistants","Symptom checker","United States","US","Conversational AI triage to navigation.","AI triage; care routing","2;4","Triage to care routing","","","","Employer deals","","B2B","Niche","Active","Adopt (feature)","corpus","","","US"
"Your.MD / Healthily","AI answers & assistants","Self-care + checker","United Kingdom","UK / Global","Symptom AI plus a self-care library.","Symptom AI; self-care guidance","2;4","Self-care guidance engine","","","","","","Consumer / B2B","Niche","Active","Adopt (feature)","corpus","","","EU;Global"
"Isabel Healthcare","AI answers & assistants","DDx checker","United Kingdom","Global","Differential-diagnosis engine.","Differential diagnosis","2","DDx engine","Long-standing clinical DDx tool","Clinician-focused","","","","B2B","Niche","Active","Watch","corpus","","","EU;Global"
"Included Health","Care navigation & 2nd opinion","Navigation + virtual care","United States","US","Navigator + expert opinion + care, employer-funded.","Navigation; expert opinion; virtual care","3;6","One front door for employer members","Merged Grand Rounds + Doctor on Demand","","","","","B2B2C employer","Growing","Active","Watch","corpus","","","US"
"Transcarent","Care navigation & 2nd opinion","Health navigation","United States","US","AI navigation and benefits steering, employer-funded.","AI navigation; benefits; care","3;6","AI front door","Acquired Accolade","20M+ members","","~$3B valuation","","B2B2C","Growing","Active","Watch","T2","https://www.cnbc.com/2025/06/10/transcarent-cnbc-disruptor-50.html","","US"
"2nd.MD","Care navigation & 2nd opinion","Second opinion","United States","US","Expert-physician video second opinions.","Expert video 2nd opinion","3","Second opinion","High-stakes diagnosis confidence","","","Employer-funded","","B2B2C employer","Niche","Active","Adopt (feature)","corpus","","","US"
"Grand Rounds","Care navigation & 2nd opinion","Navigation / 2nd opinion","United States","US","Expert matching and navigation (now part of Included Health).","Expert matching; navigation","3","Expert-network routing","","","","","","B2B2C","Mixed","Acquired","Watch","corpus","","","US"
"Teladoc","Care navigation & 2nd opinion","Telehealth","United States","US","Virtual visits + BetterHelp + chronic.","Virtual visits; chronic; therapy","2;3","Scale telehealth","","","~$2.6B revenue (declining)","","","Telehealth","Mixed","Active","Watch","corpus","","","US"
"Amazon One Medical","Care navigation & 2nd opinion","Primary care","United States","US","Membership primary care at Amazon scale.","Membership primary care","6","Retail-distributed primary care","","Millions of members","","Amazon-owned","","Membership","Growing","Active","Watch","corpus","","","US"
"Accolade","Care navigation & 2nd opinion","Health advocacy","United States","US","Advocate + navigation, employer-funded.","Advocacy; navigation","3","Human advocacy at employer scale","","","","Acquired by Transcarent ($621M, 2025)","","B2B2C","Mixed","Acquired","Watch","T2","https://www.fiercehealthcare.com/health-tech/transcarent-acquire-health-benefits-platform-accolade-621m-deal","","US"
"Apple Health","PHR & access","PHR / aggregation","United States","Global","On-device health aggregation (HealthKit).","Aggregation; HealthKit","6","Aggregation","Default iOS health hub","Hundreds of millions of devices","","","","Platform","Proven","Active","Adopt (rails)","corpus","","Record is inert without an insight loop","Global;US"
"Epic MyChart","PHR & access","Patient portal","United States","US / Global","Provider EHR portal + messaging.","Records; messaging; results","6","Provider portal","Embedded in US provider visits","190M+ records","","","","B2B (EHR)","Proven","Active","Adopt (rails)","corpus","","","Global;US"
"NHS App","PHR & access","National PHR / access","United Kingdom","UK","Records + prescriptions + appointments; national rail.","Records; Rx; appointments","6;12","National access app","Government default","~30M+ registered","","","","Public","Proven","Active","Adopt (rails)","corpus","","","EU"
"Doctolib","PHR & access","Booking / access","France","EU (FR/DE/IT)","Appointment booking + records; dominant EU booking rail.","Booking; records","6;12","Booking rail","Dominant EU booking rail","~80M+ EU patients","","","","B2B + consumer","Proven","Active","Adopt (rails)","corpus","","","EU"
"MedMij PGO (Quli/Ivido/Medicalla)","PHR & access","PHR rail (NL)","Netherlands","NL","Patient-controlled record exchange (NL national standard).","Patient-controlled record exchange","6","Regulated PHR exchange","NL regulated PHR standard","NL national framework","","","","Public framework","Growing","Active","Adopt (rails)","corpus","","","EU"
"ePA fuer alle","PHR & access","National PHR (DE)","Germany","DE","National electronic patient record rolling out to all insured.","National EHR","6","National PHR","German default EHR rail","Rolling out to all insured (2025)","","","","Public","Growing","Active","Adopt (rails)","corpus","","","EU"
"b.well","PHR & access","PHR platform","United States","US","FHIR aggregation + navigation (white-label).","FHIR aggregation; navigation","6","Aggregation platform","White-label health hub","Partner deals","","","","B2B","Niche","Active","Watch","corpus","","","US"
