id,date,title,type,epic_id,epic_title,month,pillar
DPMA-131,1/9/25,Summary Screen,Story,DPMA-94,[Send] UI Styling,Jan-25,Clarity
DPMA-320,1/10/25,Replace Auth0 tenants,Story,DPMA-134,Infrastructure,Jan-25,Fundamentals
DPMA-319,1/10/25,Auth0 configuration for Patients,Story,DPMA-134,Infrastructure,Jan-25,Fundamentals
DPMA-283,1/11/25,"[POC] estimate effort, timeline and operating cost of SMS verification service",Story,DPMA-148,Data sharing via server,Jan-25,Connection
DPMA-166,1/11/25,CI/CD Electron package,Story,DPMA-134,Infrastructure,Jan-25,Fundamentals
DPMA-134,1/13/25,Infrastructure,Epic,,,Jan-25,Fundamentals
DPMA-356,1/13/25,Make scanning faster by auto-scan and open,Story,DPMA-330,Bugs / improvements raised by Ditto,Jan-25,Clarity
DPMA-355,1/13/25,Implement new version of home screen,Story,DPMA-206,[Receive] Rebranding,Jan-25,Convenience
DPMA-207,1/13/25,Redesign - Styleguide,Story,DPMA-206,[Receive] Rebranding,Jan-25,Convenience
DPMA-132,1/13/25,User Settings,Story,DPMA-94,[Send] UI Styling,Jan-25,Convenience
DPMA-206,1/14/25,[Receive] Rebranding,Epic,,,Jan-25,Convenience
DPMA-370,1/15/25,Change search to work live instead of on click,Story,DPMA-368,[Receive] Improve flow and navigation in the app based on feedback,Jan-25,Convenience
DPMA-379,1/16/25,[Send] Apply Role & Permissions,Story,DPMA-148,Data sharing via server,Jan-25,Connection
DPMA-346,1/16/25,[iOS] Event details disappear after changing the image to text (OCR),Bug,DPMA-331,[Receive][iOS] Pre-production activities,Jan-25,Clarity
DPMA-361,1/16/25,Old Ditto logo on the login screen,Bug,DPMA-94,[Send] UI Styling,Jan-25,Convenience
DPMA-371,1/19/25,Allow date selection before other appointment details,Story,DPMA-368,[Receive] Improve flow and navigation in the app based on feedback,Jan-25,Clarity
DPMA-284,1/20/25,Patient login/logout,Story,DPMA-148,Data sharing via server,Jan-25,Connection
DPMA-369,1/20/25,[investigate] Maintain consistent language throughout user session,Story,DPMA-368,[Receive] Improve flow and navigation in the app based on feedback,Jan-25,Clarity
DPMA-285,1/21/25,Expose API for Partners to share data,Story,DPMA-148,Data sharing via server,Jan-25,Connection
DPMA-380,1/23/25,[Send] Auth0 update API/Application structure to reflect miro,Story,DPMA-148,Data sharing via server,Jan-25,Connection
DPMA-365,1/23/25,Auth0 - custom domains,Story,DPMA-94,[Send] UI Styling,Jan-25,Clarity
DPMA-372,1/24/25,[POC] Investigate how file naming system could be more user-friendly,Story,DPMA-368,[Receive] Improve flow and navigation in the app based on feedback,Jan-25,Convenience
DPMA-94,1/27/25,[Send] UI Styling,Epic,,,Jan-25,Convenience
DPMA-382,1/27/25,[Send] Introduce UUID,Story,DPMA-148,Data sharing via server,Jan-25,Connection
DPMA-386,1/27/25,Small adjustments before next beta wave (part 1),Story,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",Jan-25,Fundamentals
DPMA-383,1/27/25,[design] Prototype of smart OCR for Receive,Story,DPMA-94,[Send] UI Styling,Jan-25,Clarity
DPMA-282,1/28/25,Patient registration,Story,DPMA-148,Data sharing via server,Jan-25,Connection
DPMA-403,1/29/25,Allow m4a format to be accepted by Ditto AI,Story,DPMA-394,Switch transcription service to Ditto AI,Jan-25,Clarity
DPMA-401,1/30/25,Adjust Receive do use Ditto AI for transcript and summarisation,Story,DPMA-394,Switch transcription service to Ditto AI,Jan-25,Clarity
DPMA-398,1/30/25,Change default view of an event created by recording,Story,DPMA-397,[Receive] Reimagine event view,Jan-25,Clarity
DPMA-399,1/30/25,Adjust and future-proof data model to accommodate different event types,Story,DPMA-397,[Receive] Reimagine event view,Jan-25,Clarity
DPMA-400,2/3/25,Ensure patients can authenticate same as doctors so they can use transcription and summarisation feature in Ditto AI,Story,DPMA-394,Switch transcription service to Ditto AI,Feb-25,Clarity
DPMA-397,2/4/25,[Receive] Reimagine event view,Epic,,,Feb-25,Clarity
DPMA-402,2/4/25,QR Code invalid if Job Title for HCP is General Practitioner,Bug,DPMA-206,[Receive] Rebranding,Feb-25,Convenience
DPMA-287,2/5/25,Push notification when new data available for patient as shared by partner,Story,DPMA-148,Data sharing via server,Feb-25,Clarity
DPMA-374,2/6/25,[design] Add helpful explanatory text and guidance throughout the app,Story,DPMA-368,[Receive] Improve flow and navigation in the app based on feedback,Feb-25,Convenience
DPMA-373,2/6/25,[design] Use larger typography and clear visual distinction between different types of content,Story,DPMA-368,[Receive] Improve flow and navigation in the app based on feedback,Feb-25,Convenience
DPMA-381,2/6/25,[design] Prototype of Ditto smart capture,Story,DPMA-206,[Receive] Rebranding,Feb-25,Convenience
DPMA-286,2/7/25,Receiving data by Ditto Receive,Story,DPMA-148,Data sharing via server,Feb-25,Connection
DPMA-410,2/7/25,WhatsApp content is empty after recording summary,Bug,DPMA-206,[Receive] Rebranding,Feb-25,Clarity
DPMA-148,2/11/25,Data sharing via server,Epic,,,Feb-25,Connection
DPMA-368,2/11/25,[Receive] Improve flow and navigation in the app based on feedback,Epic,,,Feb-25,Convenience
DPMA-404,2/12/25,Show push notification after transcription and summarisation complete,Story,DPMA-394,Switch transcription service to Ditto AI,Feb-25,Clarity
DPMA-408,2/17/25,[Receive] Estimate UIUX improvements based on new designs,Story,DPMA-206,[Receive] Rebranding,Feb-25,Convenience
DPMA-439,2/24/25,[Receive] Ditto team feedback before soft launch,Story,DPMA-206,[Receive] Rebranding,Feb-25,Convenience
DPMA-332,3/3/25,[Receive] Direct document/screenshot to understandable summary (via OCR),Epic,,,Mar-25,Clarity
DPMA-299,3/3/25,Smart OCR to scan documents in Receive,Story,DPMA-332,[Receive] Direct document/screenshot to understandable summary (via OCR),Mar-25,Clarity
DPMA-440,3/3/25,Improve UI changes before Testflight push,Story,DPMA-425,[UserService] Pre-Prod Backend Release Q1,Mar-25,Fundamentals
DPMA-394,3/13/25,Switch transcription service to Ditto AI,Epic,,,Mar-25,Clarity
DPMA-430,3/13/25,[Receive] Provide feedback on AI output,Epic,,,Mar-25,Clarity
DPMA-443,3/13/25,[Receive] Onboarding,Epic,,,Mar-25,Convenience
DPMA-428,3/13/25,Remove unauthenticated access to all Ditto AI endpoints,Task,DPMA-394,Switch transcription service to Ditto AI,Mar-25,Clarity
DPMA-444,3/13/25,Onboarding in Receive app,Story,DPMA-443,[Receive] Onboarding,Mar-25,Convenience
DPMA-431,3/13/25,Allow users send feedback to AI outputs quality,Story,DPMA-430,[Receive] Provide feedback on AI output,Mar-25,Clarity
DPMA-441,3/13/25,[Receive] Sharing of recording event gives empty details,Bug,DPMA-425,[UserService] Pre-Prod Backend Release Q1,Mar-25,Clarity
DPMA-405,3/13/25,Minor adjustments in new recording functionality,Story,DPMA-425,[UserService] Pre-Prod Backend Release Q1,Mar-25,Clarity
DPMA-438,3/13/25,[Receive] Minor recording tweaks,Bug,DPMA-425,[UserService] Pre-Prod Backend Release Q1,Mar-25,Clarity
DPMA-409,3/14/25,[Receive] Enable extensive yet easy feedback collection test users,Story,DPMA-210,"[Receive] Bugs, issues, improvements UAT",Mar-25,Fundamentals
DPMA-469,3/19/25,Azure Security Recommendations,Story,DPMA-479,[Infrastructure] Security Q1,Mar-25,Fundamentals
DPMA-411,3/19/25,[UserService] Security Improvements,Story,DPMA-425,[UserService] Pre-Prod Backend Release Q1,Mar-25,Fundamentals
DPMA-467,3/19/25,Provide rough estimate for time investment for Android App,Story,DPMA-425,[UserService] Pre-Prod Backend Release Q1,Mar-25,Fundamentals
DPMA-502,3/27/25,Implement Authentication with RBAC,Task,DPMA-498,[AI/Receive] AI API productionalisation,Mar-25,Clarity
DPMA-499,3/27/25,Code reorganization,Task,DPMA-498,[AI/Receive] AI API productionalisation,Mar-25,Clarity
DPMA-500,3/27/25,New Domain models + Database,Task,DPMA-498,[AI/Receive] AI API productionalisation,Mar-25,Clarity
DPMA-436,3/28/25,Implement DBMS backups (and decide what kind of backups we need),Task,DPMA-479,[Infrastructure] Security Q1,Mar-25,Fundamentals
DPMA-437,3/28/25,Implement audit trails (logs) on sensitive (patient) data access,Task,DPMA-479,[Infrastructure] Security Q1,Mar-25,Clarity
DPMA-421,3/29/25,[UserService] Pre-Production Improvements/Tech Debt Q1,Story,DPMA-425,[UserService] Pre-Prod Backend Release Q1,Mar-25,Fundamentals
DPMA-463,4/2/25,Avoid storing traces in Langfuse,Story,DPMA-461,"[AI, receive] Do not store any data",Apr-25,Clarity
DPMA-501,4/2/25,Implement API logic,Task,DPMA-498,[AI/Receive] AI API productionalisation,Apr-25,Clarity
DPMA-503,4/2/25,[Infra] provision new resources,Task,DPMA-498,[AI/Receive] AI API productionalisation,Apr-25,Clarity
DPMA-506,4/2/25,add rate limiting,Task,DPMA-498,[AI/Receive] AI API productionalisation,Apr-25,Clarity
DPMA-505,4/2/25,apply security requirements,Task,DPMA-498,[AI/Receive] AI API productionalisation,Apr-25,Clarity
DPMA-483,4/2/25,Enable Azure cloud defender.,Task,DPMA-479,[Infrastructure] Security Q1,Apr-25,Fundamentals
DPMA-485,4/2/25,Subscriptions should have a contact email address for security issues,Task,DPMA-479,[Infrastructure] Security Q1,Apr-25,Clarity
DPMA-487,4/2/25,Enable alert notifications,Task,DPMA-479,[Infrastructure] Security Q1,Apr-25,Fundamentals
DPMA-513,4/2/25,Rework Doc scanner,Story,DPMA-331,[Receive][iOS] Pre-production activities,Apr-25,Convenience
DPMA-516,4/4/25,Redefine APi contract,Story,DPMA-498,[AI/Receive] AI API productionalisation,Apr-25,Clarity
DPMA-504,4/8/25,CI/CD pipeline,Task,DPMA-498,[AI/Receive] AI API productionalisation,Apr-25,Clarity
DPMA-489,4/10/25,Azure AI Services resources should have key access disabled (disable local authentication),Task,DPMA-479,[Infrastructure] Security Q1,Apr-25,Clarity
DPMA-514,4/10/25,Migrate everything to Nothern Europe,Story,DPMA-479,[Infrastructure] Security Q1,Apr-25,Fundamentals
DPMA-454,4/10/25,Log in with AppleID,Story,DPMA-453,[Receive] Q1 release Functional debt,Apr-25,Fundamentals
DPMA-521,4/11/25,Update content log in and account creation screens,Story,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",Apr-25,Fundamentals
DPMA-461,4/15/25,"[AI, receive] Do not store any data",Epic,,,Apr-25,Clarity
DPMA-510,4/15/25,Switch to database identity login for prototype and core,Task,DPMA-498,[AI/Receive] AI API productionalisation,Apr-25,Clarity
DPMA-512,4/15/25,Switch to production google keys,Story,DPMA-479,[Infrastructure] Security Q1,Apr-25,Fundamentals
DPMA-520,4/16/25,"Have 15 mins timeout on ""finalize"" request",Story,DPMA-498,[AI/Receive] AI API productionalisation,Apr-25,Clarity
DPMA-414,4/16/25,Create/use application DB connection with least privilage rule,Task,DPMA-479,[Infrastructure] Security Q1,Apr-25,Connection
DPMA-528,4/16/25,Design Force Update Solution (ADR),Task,DPMA-446,[Receive] The App should force users to upgrade in case of incompatible changes on backend,Apr-25,Convenience
DPMA-537,4/16/25,[User Service] Update Auth0 scopes to allow for user removal,Task,DPMA-425,[UserService] Pre-Prod Backend Release Q1,Apr-25,Fundamentals
DPMA-523,4/18/25,Limit size of requests to AI services,Task,DPMA-498,[AI/Receive] AI API productionalisation,Apr-25,Clarity
DPMA-519,4/18/25,[User Service] Update logic to allow single patient to use both Apple Id & Google Auth,Story,DPMA-425,[UserService] Pre-Prod Backend Release Q1,Apr-25,Fundamentals
DPMA-425,4/23/25,[UserService] Pre-Prod Backend Release Q1,Epic,,,Apr-25,Fundamentals
DPMA-562,4/23/25,Fix Audio upload in new AI api,Task,DPMA-498,[AI/Receive] AI API productionalisation,Apr-25,Clarity
DPMA-545,4/23/25,Fix title spacing,Story,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",Apr-25,Fundamentals
DPMA-546,4/23/25,Make Ditto insights cards clickable,Story,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",Apr-25,Fundamentals
DPMA-549,4/23/25,Fix onboarding tagline,Story,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",Apr-25,Convenience
DPMA-551,4/23/25,Privacy statement - fix spacing,Story,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",Apr-25,Fundamentals
DPMA-288,4/24/25,Patient account management - features required to go live,Story,DPMA-331,[Receive][iOS] Pre-production activities,Apr-25,Fundamentals
DPMA-413,4/25/25,Update Auth0 Token configuration to use short lived tokens,Task,DPMA-479,[Infrastructure] Security Q1,Apr-25,Fundamentals
DPMA-452,4/25/25,Use secure HTTPs protocol,Story,DPMA-448,"[Receive, iOS] Security Q1 Release",Apr-25,Fundamentals
DPMA-466,4/25/25,Minor adjustments before Testflight release,Story,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",Apr-25,Fundamentals
DPMA-552,4/25/25,Implement latest localise changes,Story,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",Apr-25,Fundamentals
DPMA-449,4/28/25,Data should be stored in the “Application Support Directory.”,Story,DPMA-448,"[Receive, iOS] Security Q1 Release",Apr-25,Fundamentals
DPMA-498,4/30/25,[AI/Receive] AI API productionalisation,Epic,,,Apr-25,Clarity
DPMA-450,5/1/25,Biometrics check and completeFileProtection class,Story,DPMA-448,"[Receive, iOS] Security Q1 Release",May-25,Fundamentals
DPMA-561,5/1/25,Update delete note icon,Story,DPMA-453,[Receive] Q1 release Functional debt,May-25,Fundamentals
DPMA-455,5/1/25,"Update text that explains users why we need push notifications, access to mic etc.",Story,DPMA-453,[Receive] Q1 release Functional debt,May-25,Clarity
DPMA-511,5/1/25,Recording stops and breaks when alarm goes off,Bug,DPMA-331,[Receive][iOS] Pre-production activities,May-25,Clarity
DPMA-564,5/1/25,Remove option to share audio file,Story,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",May-25,Connection
DPMA-550,5/1/25,Fix onboarding images,Story,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",May-25,Convenience
DPMA-478,5/1/25,Screenshot in onboarding don't change with language,Bug,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",May-25,Convenience
DPMA-565,5/1/25,Update external links in profile page,Story,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",May-25,Fundamentals
DPMA-470,5/2/25,Make sure the application silently refreshes JWT tokens,Task,DPMA-448,"[Receive, iOS] Security Q1 Release",May-25,Fundamentals
DPMA-568,5/2/25,Update face-id lockscreen,Story,DPMA-453,[Receive] Q1 release Functional debt,May-25,Convenience
DPMA-459,5/3/25,Crash reports,Story,DPMA-458,[Receive] Technical Observability (3d),May-25,Fundamentals
DPMA-456,5/5/25,"Legal documents available offline within the app (Privacy Policy, T&C, EULA).",Story,DPMA-453,[Receive] Q1 release Functional debt,May-25,Clarity
DPMA-479,5/6/25,[Infrastructure] Security Q1,Epic,,,May-25,Fundamentals
DPMA-331,5/6/25,[Receive][iOS] Pre-production activities,Epic,,,May-25,Fundamentals
DPMA-446,5/6/25,[Receive] The App should force users to upgrade in case of incompatible changes on backend,Epic,,,May-25,Convenience
DPMA-448,5/6/25,"[Receive, iOS] Security Q1 Release",Epic,,,May-25,Fundamentals
DPMA-453,5/6/25,[Receive] Q1 release Functional debt,Epic,,,May-25,Fundamentals
DPMA-457,5/6/25,Contact support option,Story,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",May-25,Fundamentals
DPMA-531,5/6/25,Update user telemetry with latest app adjustments,Story,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",May-25,Fundamentals
DPMA-330,5/8/25,Bugs / improvements raised by Ditto,Epic,,,May-25,Clarity
DPMA-391,5/8/25,"[Release, iOS] Finalise Ditto V1.0 for the App-store",Epic,,,May-25,Fundamentals
DPMA-579,5/8/25,Don’t include input and output text when sending feedback,Task,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Fundamentals
DPMA-525,5/8/25,Add styling to summary of medical letter,Story,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",May-25,Clarity
DPMA-586,5/9/25,Enable pg_bouncer on dev and prod,Task,DPMA-481,[Infrastructure] Security Q2 2d,May-25,Fundamentals
DPMA-535,5/9/25,Do not route ALL traffic via VPN. Route only the one which is directed to our servers.,Task,DPMA-481,[Infrastructure] Security Q2 2d,May-25,Fundamentals
DPMA-587,5/9/25,"If my phone auto-locks, the recording is (sometimes) paused.",Bug,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Clarity
DPMA-578,5/9/25,"After conversation summary was over, the message about summary being in progress was still there.",Task,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Clarity
DPMA-534,5/12/25,Navigation of home screen cards,Bug,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Convenience
DPMA-544,5/12/25,"Update tab ""More""",Story,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Fundamentals
DPMA-540,5/12/25,Implement list of Ditto Quotes on profile page,Story,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Fundamentals
DPMA-526,5/12/25,Fix format sharing snippet,Story,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Connection
DPMA-569,5/12/25,Integration between Auth0 and Mailchimp,Task,DPMA-580,[Receive] Inbox Q2,May-25,Clarity
DPMA-445,5/12/25,Update email verification email,Story,DPMA-571,[Receive] Inbox Q3,May-25,Clarity
DPMA-592,5/13/25,Cleanup DB connection management,Task,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Connection
DPMA-573,5/19/25,Tweak WAF security settings,Task,DPMA-481,[Infrastructure] Security Q2 2d,May-25,Fundamentals
DPMA-585,5/19/25,Cannot translate,Bug,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Fundamentals
DPMA-541,5/19/25,Implement new feedback form,Story,DPMA-580,[Receive] Inbox Q2,May-25,Fundamentals
DPMA-492,5/19/25,Assess complexity and effort needed for app improvements,Story,DPMA-580,[Receive] Inbox Q2,May-25,Fundamentals
DPMA-548,5/19/25,Adjust order of App Store images,Bug,DPMA-580,[Receive] Inbox Q2,May-25,Fundamentals
DPMA-543,5/19/25,"Update link ""About Ditto""",Story,DPMA-580,[Receive] Inbox Q2,May-25,Fundamentals
DPMA-536,5/19/25,Add App-store descriptions & keywords,Story,DPMA-580,[Receive] Inbox Q2,May-25,Fundamentals
DPMA-527,5/19/25,Implement updated onboarding images,Story,DPMA-580,[Receive] Inbox Q2,May-25,Convenience
DPMA-533,5/19/25,Adjust bottom text and website URL in sharing summary,Story,DPMA-580,[Receive] Inbox Q2,May-25,Clarity
DPMA-611,5/20/25,make sure the right notifications are sent when explanation is comleted,Task,DPMA-601,"[Receive, BE] Post Lunch Fixes",May-25,Fundamentals
DPMA-610,5/20/25,First name not synced with Mailchimp,Bug,DPMA-391,"[Release, iOS] Finalise Ditto V1.0 for the App-store",May-25,Clarity
DPMA-595,5/23/25,Can't retry if creation of a conversation summary is failed.,Bug,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Clarity
DPMA-600,5/23/25,Birthdate selector of account stores day-1,Bug,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Fundamentals
DPMA-583,5/23/25,Can't create summary on a locked app,Bug,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Clarity
DPMA-584,5/23/25,Do not force users to upgrade if we can't receive app version from appstore.,Task,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Convenience
DPMA-629,5/26/25,Push notifications not working on dev,Bug,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Fundamentals
DPMA-524,5/26/25,Limit size of requests to AI services,Task,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Clarity
DPMA-618,5/27/25,Need to deliver notification in user language (translated),Story,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Convenience
DPMA-634,5/28/25,Push notifications not working,Bug,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",May-25,Fundamentals
DPMA-574,6/3/25,Prevent translation of a conversation while one is pending,Task,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",Jun-25,Fundamentals
DPMA-622,6/3/25,"Add ""uploading"" status to the application.",Task,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",Jun-25,Fundamentals
DPMA-602,6/3/25,Error status of an event transcription is not persisted.,Bug,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",Jun-25,Clarity
DPMA-635,6/5/25,Extend audio chunk request to include finalChunk boolean flag,Story,DPMA-571,[Receive] Inbox Q3,Jun-25,Fundamentals
DPMA-601,6/6/25,"[Receive, BE] Post Lunch Fixes",Epic,,,Jun-25,Fundamentals
DPMA-603,6/6/25,Transcription on J side takes 10 times more time than it should,Bug,DPMA-601,"[Receive, BE] Post Lunch Fixes",Jun-25,Clarity
DPMA-598,6/6/25,"When conversation explanation is ""in progress"", the client can request finalize again with the same id, and get a successful response",Bug,DPMA-601,"[Receive, BE] Post Lunch Fixes",Jun-25,Clarity
DPMA-624,6/9/25,[AI] Validate & Sanitize medical_summary payload in context of SQL/XSS/Prompt Injections,Story,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",Jun-25,Clarity
DPMA-580,6/10/25,[Receive] Inbox Q2,Epic,,,Jun-25,Fundamentals
DPMA-695,6/10/25,Tickets,Task,DPMA-643,[AI] Improvements Q2 6w,Jun-25,Clarity
DPMA-694,6/10/25,Inventory of AI improvements,Task,DPMA-643,[AI] Improvements Q2 6w,Jun-25,Clarity
DPMA-678,6/10/25,Populate the Epic with Tasks,Task,DPMA-615,[AI] Tech debt Q2 1d,Jun-25,Clarity
DPMA-642,6/10/25,Create AI service tech debt inventory,Task,DPMA-615,[AI] Tech debt Q2 1d,Jun-25,Clarity
DPMA-522,6/10/25,Implement updated error messages,Story,DPMA-567,"[Receive, BE] Q2 Improvements (2w)",Jun-25,Convenience
DPMA-628,6/10/25,Getting connection error when trying to explain convesations,Bug,DPMA-570,"[Receive, iOS] Post lunch fixes, high prio (2w)",Jun-25,Clarity
DPMA-532,6/10/25,Update Dockerfile to allow managed identity (same as it works from local env - Azure OpenAI),Story,DPMA-464,"[Receive, iOS] Tech Debt Q3 Release",Jun-25,Clarity
DPMA-588,6/10/25,"We refer to the fact that you get a reminder from an appointment manually added, but this is not implemented",Task,DPMA-571,[Receive] Inbox Q3,Jun-25,Convenience
DPMA-591,6/10/25,Save recording to device menu option is still linked to Share functinality,Bug,DPMA-571,[Receive] Inbox Q3,Jun-25,Clarity
DPMA-593,6/10/25,Play with speech related codecs,Task,DPMA-571,[Receive] Inbox Q3,Jun-25,Fundamentals
DPMA-630,6/10/25,Update dynamic quotes,Story,DPMA-571,[Receive] Inbox Q3,Jun-25,Fundamentals
DPMA-680,6/11/25,"Plan ""AI Tech Debt"" Epic development (Three highest prio tasks)",Task,DPMA-647,Take things under control (3d),Jun-25,Clarity
DPMA-693,6/11/25,"Plan ""[AI] improvements""",Task,DPMA-647,Take things under control (3d),Jun-25,Clarity
DPMA-696,6/11/25,Estimation,Task,DPMA-643,[AI] Improvements Q2 6w,Jun-25,Clarity
DPMA-679,6/11/25,Estimate Tasks in Epic,Task,DPMA-615,[AI] Tech debt Q2 1d,Jun-25,Clarity
DPMA-670,6/12/25,Populate The Epic with Tasks,Task,DPMA-613,[BE] Technical Observability 2w,Jun-25,Fundamentals
DPMA-671,6/12/25,Estimate Epic tasks,Task,DPMA-613,[BE] Technical Observability 2w,Jun-25,Fundamentals
