ID,Title,Link,Status,Project,Pillar,OKR_primary,OKR_link,Investment,Effort,Priority
PRO-153,Redesign share bottom sheet — native fullscreen,https://linear.app/ditto-care/issue/PRO-153/redesign-share-bottom-sheet-native-fullscreen,In Review,Care Circle 3.0,Connection,O2-KR3,Linear-linked,Improvement,M,High
PRO-222,Improve timing share sheet,https://linear.app/ditto-care/issue/PRO-222/improve-timing-share-sheet,In Review,Care Circle 3.0,Connection,O2-KR3,Linear-linked,Improvement,M,High
PRO-290,Fix Care Circle analytics: accurate circle size measurement including followers,https://linear.app/ditto-care/issue/PRO-290/fix-care-circle-analytics-accurate-circle-size-measurement-including,In Progress,Care Circle 3.0,Connection,O2-KR3,Linear-linked,Bug fix,S,Urgent
PRO-599,Prompt re-share after adding a summary to a shared appointment,https://linear.app/ditto-care/issue/PRO-599/prompt-re-share-after-adding-a-summary-to-a-shared-appointment,In Review,Care Circle 3.0,Connection,O2-KR3,Linear-linked,Team/internal ops,S,High
PRO-86,Test deferred deeplinks,https://linear.app/ditto-care/issue/PRO-86/test-deferred-deeplinks,In Review,Care Circle V2,Connection,O2-KR3,Inferred,Team/internal ops,S,No priority
PRO-45,Update guardrail prompts for Gemini 3.5,https://linear.app/ditto-care/issue/PRO-45/update-guardrail-prompts-for-gemini-35,In Review,Conversation Explainer AI Improvements,Clarity,O2-KR4,Inferred,AI quality,L,High
PRO-513,Push Conversation Explainer v2 to production,https://linear.app/ditto-care/issue/PRO-513/push-conversation-explainer-v2-to-production,In Progress,Conversation Explainer AI Improvements,Clarity,O2-KR4,Inferred,AI quality,S,High
PRO-514,Enable Gemini 3.5 Flash as production fallback for CE v2,https://linear.app/ditto-care/issue/PRO-514/enable-gemini-35-flash-as-production-fallback-for-ce-v2,In Review,Conversation Explainer AI Improvements,Clarity,O2-KR4,Inferred,AI quality,S,High
PRO-515,Launch shadow run: Gemini 3.5 Flash with optimized prompts,https://linear.app/ditto-care/issue/PRO-515/launch-shadow-run-gemini-35-flash-with-optimized-prompts,In Review,Conversation Explainer AI Improvements,Clarity,O2-KR4,Inferred,AI quality,S,High
PRO-556,Create design for first-time recorder guidance,https://linear.app/ditto-care/issue/PRO-556/create-design-for-first-time-recorder-guidance,In Progress,Create an aha moment during onboarding,Convenience,O2-KR2,Inferred,Team/internal ops,S,High
PRO-452,Reach out to hospitals in Rotterdam,https://linear.app/ditto-care/issue/PRO-452/reach-out-to-hospitals-in-rotterdam,In Progress,"EXP-B2B: A1a — single ticket, comments-only",Fundamentals,—,None (BAU/foundational),B2B/partner ops,S,No priority
PRO-453,Reach out to hospitals in Rotterdam,https://linear.app/ditto-care/issue/PRO-453/reach-out-to-hospitals-in-rotterdam,In Progress,"EXP-B2B: A1b — single root, sub-issues",Fundamentals,—,None (BAU/foundational),B2B/partner ops,S,No priority
PRO-456,Company A,https://linear.app/ditto-care/issue/PRO-456/company-a,In Review,"EXP-B2B: A1b — single root, sub-issues",Fundamentals,—,None (BAU/foundational),B2B/partner ops,S,No priority
PRO-457,Company B,https://linear.app/ditto-care/issue/PRO-457/company-b,In Progress,"EXP-B2B: A1b — single root, sub-issues",Fundamentals,—,None (BAU/foundational),Team/internal ops,S,No priority
PRO-462,Person 1 @ Company A,https://linear.app/ditto-care/issue/PRO-462/person-1-company-a,In Review,"EXP-B2B: A1b — single root, sub-issues",Fundamentals,—,None (BAU/foundational),B2B/partner ops,S,No priority
PRO-463,Person 2 @ Company A,https://linear.app/ditto-care/issue/PRO-463/person-2-company-a,In Review,"EXP-B2B: A1b — single root, sub-issues",Fundamentals,—,None (BAU/foundational),B2B/partner ops,S,No priority
PRO-459,Company B,https://linear.app/ditto-care/issue/PRO-459/company-b,In Progress,"EXP-B2B: A2 — one project, 3 milestones",Fundamentals,—,None (BAU/foundational),Team/internal ops,S,No priority
PRO-466,Person 1 @ Company A,https://linear.app/ditto-care/issue/PRO-466/person-1-company-a,In Review,"EXP-B2B: A2 — one project, 3 milestones",Fundamentals,—,None (BAU/foundational),B2B/partner ops,S,No priority
PRO-467,Person 2 @ Company A,https://linear.app/ditto-care/issue/PRO-467/person-2-company-a,In Review,"EXP-B2B: A2 — one project, 3 milestones",Fundamentals,—,None (BAU/foundational),B2B/partner ops,S,No priority
PRO-468,Person 3 @ Company B,https://linear.app/ditto-care/issue/PRO-468/person-3-company-b,In Progress,"EXP-B2B: A2 — one project, 3 milestones",Fundamentals,—,None (BAU/foundational),Team/internal ops,S,No priority
PRO-461,Company B,https://linear.app/ditto-care/issue/PRO-461/company-b,In Progress,EXP-B2B: A3 Step 2 — People Research,Fundamentals,—,None (BAU/foundational),Team/internal ops,S,No priority
PRO-470,Person 1 @ Company A,https://linear.app/ditto-care/issue/PRO-470/person-1-company-a,In Review,EXP-B2B: A3 Step 3 — Contact + Draft,Fundamentals,—,None (BAU/foundational),B2B/partner ops,S,No priority
PRO-471,Person 2 @ Company A,https://linear.app/ditto-care/issue/PRO-471/person-2-company-a,In Review,EXP-B2B: A3 Step 3 — Contact + Draft,Fundamentals,—,None (BAU/foundational),B2B/partner ops,S,No priority
PRO-472,Person 3 @ Company B,https://linear.app/ditto-care/issue/PRO-472/person-3-company-b,In Progress,EXP-B2B: A3 Step 3 — Contact + Draft,Fundamentals,—,None (BAU/foundational),Team/internal ops,S,No priority
PRO-306,Create approved MCP/tool access matrix for Growth,https://linear.app/ditto-care/issue/PRO-306/create-approved-mcptool-access-matrix-for-growth,In Progress,Growth: Team Way of Working (WoW),Fundamentals,O1-KR4,Inferred,Team/internal ops,M,No priority
PRO-309,Should agents report source or report for numbers in Mixpanel?,https://linear.app/ditto-care/issue/PRO-309/should-agents-report-source-or-report-for-numbers-in-mixpanel,In Progress,Growth: Team Way of Working (WoW),Fundamentals,O1-KR4,Inferred,Analytics/tracking,S,No priority
PRO-312,Automatic experiment set-up Mixpanel,https://linear.app/ditto-care/issue/PRO-312/automatic-experiment-set-up-mixpanel,In Progress,Growth: Team Way of Working (WoW),Fundamentals,O1-KR4,Inferred,Analytics/tracking,S,No priority
PRO-12,Migrate user service backend Supabase,https://linear.app/ditto-care/issue/PRO-12/migrate-user-service-backend-supabase,In Review,Migrate Away from Auth0,Fundamentals,O2-KR3,Linear-linked,Infra/platform,L,High
PRO-345,Migrate Data to Supabase,https://linear.app/ditto-care/issue/PRO-345/migrate-data-to-supabase,In Progress,Migrate Away from Auth0,Fundamentals,O2-KR3,Linear-linked,Infra/platform,M,No priority
PRO-346,Migrate care circle service to supabase,https://linear.app/ditto-care/issue/PRO-346/migrate-care-circle-service-to-supabase,In Review,Migrate Away from Auth0,Fundamentals,O2-KR3,Linear-linked,Infra/platform,S,No priority
PRO-480,[Backend] Invitation endpoints & expiring invitation object for Care Circle invite flow,https://linear.app/ditto-care/issue/PRO-480/backend-invitation-endpoints-and-expiring-invitation-object-for-care,In Review,Remove confirmation from Care Circle invite flow,Connection,O2-KR3,Linear-linked,Infra/platform,L,High
PRO-281,End-to-end experiment verification & SDK docs,https://linear.app/ditto-care/issue/PRO-281/end-to-end-experiment-verification-and-sdk-docs,In Progress,Ship at 80%: Experiment Velocity Engine,Fundamentals,O1-KR4,Linear-linked,Process/tooling,L,High
PRO-428,Implement per-PR preview environments (full spec),https://linear.app/ditto-care/issue/PRO-428/implement-per-pr-preview-environments-full-spec,In Review,Staging Backend Environment,Fundamentals,—,None (BAU/foundational),Infra/platform,M,No priority
PRO-434,[UI fix] Improve font size and alignment on older iPhones,https://linear.app/ditto-care/issue/PRO-434/ui-fix-improve-font-size-and-alignment-on-older-iphones,In Review,UI / LEGO maintenance,Fundamentals,—,None (BAU/foundational),Improvement,S,High
